7,7,6,2,5,6,6,6,7,6,2,5,2,2,4,4,4,3,5,7,6,-9999,7,7,-9999,5,4,4,5,5,6,6,5,5,7,-9999,-9999,3,2,6,7,4,4,4,7,4,7,4,7,7,3,7,6,3,7,5,2,1,7,52,0,0.153967020969019,13.8722345941426
6,4,4,3,4,5,3,2,6,5,4,7,7,4,3,4,4,2,5,6,5,1,7,7,7,6,5,5,6,7,7,6,7,4,4,4,3,3,7,5,5,4,7,7,6,-9999,7,3,2,2,2,2,5,4,3,5,3,2,7,32,0,0.153967020969019,13.8722345941426
2,7,7,2,7,2,2,7,6,3,3,6,5,6,5,3,3,5,4,6,6,6,3,3,2,5,4,4,4,7,7,4,1,7,2,-9999,6,4,5,5,4,4,4,4,7,4,7,7,7,7,6,-9999,2,2,2,4,2,3,4,21,0,0.0282935025165971,10.9885180244808
5,4,5,4,4,5,4,3,6,6,4,5,5,5,6,4,5,4,5,4,4,4,4,5,5,5,5,5,4,7,6,6,4,5,5,7,6,5,6,6,7,7,6,6,5,6,6,4,5,2,5,5,5,4,4,2,3,5,5,31,0,0.212177430646274,10.691287878919
5,3,5,4,6,4,4,5,5,5,3,4,4,5,5,4,4,5,5,2,2,2,5,5,5,2,2,2,5,3,6,3,3,6,4,4,4,3,5,4,4,4,5,5,3,5,6,6,4,6,3,5,4,5,6,6,5,5,7,52,1,0.0252342947230523,11.9310448357699
6,2,7,5,6,5,5,4,4,5,5,6,3,7,6,5,5,6,6,3,3,3,3,5,5,6,5,6,6,7,5,7,2,6,2,5,2,5,7,4,6,4,3,4,6,6,6,5,5,4,5,4,6,6,5,6,6,5,3,21,1,0.0268727255619969,8.61128444681578
6,6,7,-9999,7,3,2,6,6,7,4,6,4,7,4,4,4,6,5,4,4,4,7,6,6,4,4,3,3,-9999,-9999,-9999,2,6,-9999,-9999,-9999,4,5,4,7,4,4,4,4,6,6,4,5,6,7,7,2,4,4,3,6,5,2,4,0,0.0223266790057482,8.69659381978253
7,5,2,6,6,5,-9999,6,7,-9999,2,2,4,5,6,5,5,6,4,2,2,2,2,2,5,4,3,3,2,6,6,6,1,6,-9999,5,-9999,2,5,4,5,5,5,5,5,5,6,5,5,-9999,-9999,-9999,5,3,4,3,2,5,3,15,0,0.134799727523221,8.44253429830266
6,3,6,6,6,3,6,7,5,6,4,5,4,5,4,4,4,5,5,3,3,1,2,4,4,3,3,3,3,7,5,5,4,5,4,7,5,3,4,4,6,6,4,5,7,7,7,7,7,7,7,7,4,4,4,4,5,5,3,13,1,0.0133412436176839,7.55349633714481
5,2,7,3,6,5,4,6,6,6,1,-9999,1,4,5,3,4,6,6,1,1,1,1,1,5,1,1,1,1,6,5,6,1,4,2,-9999,-9999,1,3,3,6,4,5,5,6,1,7,5,5,1,1,5,2,4,5,5,2,4,3,12,0,0.0549374681852352,7.85387662081497
7,5,6,2,5,6,4,6,6,6,1,-9999,1,4,5,3,4,6,6,2,-9999,1,3,2,6,1,1,1,1,6,7,7,2,4,-9999,-9999,6,1,3,3,6,4,5,5,5,1,6,6,6,5,2,-9999,4,4,6,5,1,2,3,12,0,0.0549374681852352,7.85387662081497
6,3,6,5,6,6,6,7,6,6,4,6,5,6,6,5,5,6,6,3,5,5,4,4,6,5,6,6,6,7,7,6,5,5,5,5,6,4,5,5,5,5,5,5,6,6,6,6,5,5,4,4,6,5,4,4,4,6,5,12,1,0.0572120309082184,10.4149359823182
5,3,6,-9999,-9999,3,5,7,4,4,6,7,2,3,2,4,3,3,4,4,5,6,6,6,6,5,2,4,-9999,6,4,5,4,6,-9999,5,-9999,2,3,2,6,6,-9999,7,5,-9999,5,6,7,6,1,4,4,3,4,5,3,4,6,52,0,0.0705039435110738,10.6404841403743
6,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,4,4,4,4,2,4,3,2,2,-9999,2,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,6,5,6,6,4,5,6,6,6,6,6,6,2,5,6,31,1,0.0272893761239527,11.9107667707946
6,2,7,4,7,6,6,7,6,3,5,6,2,6,6,7,4,4,6,6,3,3,3,3,4,5,2,1,2,6,6,7,1,5,4,-9999,5,1,3,2,5,3,4,5,4,4,4,3,3,5,4,5,5,4,4,6,5,4,3,46,1,0.312461642313952,9.80662416713225
5,4,-9999,5,4,5,4,5,5,7,3,4,4,6,7,7,4,4,7,-9999,-9999,-9999,2,2,5,6,4,4,1,6,-9999,-9999,3,5,-9999,-9999,-9999,2,3,3,7,7,7,7,7,4,5,4,4,4,1,5,6,4,4,4,5,4,3,52,1,0.0332847757294911,9.28559625645495
5,3,5,6,6,5,3,6,2,5,6,6,5,6,4,2,2,3,2,2,4,-9999,1,3,5,5,5,4,2,6,5,4,3,5,-9999,-9999,-9999,3,5,4,4,5,6,3,2,5,6,-9999,5,2,-9999,-9999,3,3,3,4,2,3,5,52,0,0.154804181229884,10.7753267945667
5,5,5,5,5,5,5,5,5,6,6,6,5,5,6,4,4,5,4,6,6,3,4,3,7,5,5,1,4,7,7,7,7,5,7,3,4,3,5,5,7,5,6,5,6,4,3,5,5,5,5,5,7,2,4,3,1,4,3,41,0,0.173752728964304,8.73974456742926
7,1,7,1,1,1,1,7,7,7,2,7,2,2,2,2,2,4,7,4,4,1,1,1,1,2,2,2,2,7,7,7,1,1,1,7,7,3,3,3,7,7,-9999,7,7,7,7,1,1,7,7,7,1,1,7,7,1,1,1,28,0,-9999,-9999
5,4,4,4,5,3,5,4,4,4,6,5,3,4,3,3,4,3,3,3,5,5,3,4,4,4,3,3,3,6,4,5,4,5,4,-9999,-9999,5,6,4,4,3,5,3,4,3,4,-9999,-9999,-9999,-9999,-9999,2,6,4,3,1,3,6,52,0,0.0397828003052212,11.1560933658261
4,4,5,4,6,5,4,5,6,5,4,4,4,5,6,3,4,4,4,6,6,3,7,7,7,5,7,3,7,5,5,7,5,5,6,6,6,6,5,4,6,5,4,5,4,6,6,6,7,7,6,6,5,3,5,2,2,6,9,52,0,0.0438944523724269,14.9423786968406
6,5,5,6,4,4,6,4,5,6,5,6,5,5,5,5,5,5,5,3,3,4,5,5,5,4,4,4,4,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,6,4,5,5,5,5,5,4,5,5,5,5,4,6,5,52,1,0.0123458531692827,10.0960935427806
4,3,3,3,3,3,2,1,2,5,5,5,5,5,4,3,3,2,4,3,1,1,3,3,6,2,2,2,3,4,2,4,2,5,3,2,3,4,4,3,5,4,5,4,3,2,4,4,1,2,1,2,1,2,2,3,1,3,3,52,0,0.0320778284669323,8.66473349936957
5,5,4,2,2,4,2,2,4,5,5,4,3,4,4,4,4,4,4,2,4,3,5,4,6,3,3,3,3,5,6,7,4,6,4,4,4,2,6,4,4,4,3,5,7,4,5,4,4,4,2,2,5,3,4,4,4,3,2,36,0,-0.0632254005000469,8.50766797019117
