2,2,2,4,4,6,3,5,7,6,7,5,4,5,7,4,4,4,3,3,7,52,4,0.153967020969019,13.8722345941426
4,7,4,4,4,5,2,5,6,5,7,6,5,6,5,7,7,7,7,7,7,32,3.66666666666667,0.153967020969019,13.8722345941426
3,5,6,3,3,3,5,4,6,6,3,5,4,4,4,4,4,6,6,5,4,21,2.5,0.0282935025165971,10.9885180244808
4,5,5,4,5,6,4,5,4,4,4,5,5,4,7,6,6,6,6,6,5,31,3.83333333333333,0.212177430646274,10.691287878919
3,4,5,4,4,5,5,5,2,2,5,2,2,5,4,5,5,5,4,4,7,52,5.16666666666667,0.0252342947230523,11.9310448357699
5,3,7,5,5,5,6,6,3,3,3,6,5,6,6,3,4,6,3,3,3,21,5.66666666666667,0.0268727255619969,8.61128444681578
4,4,7,4,4,7,6,5,4,4,7,4,4,3,7,4,4,1,3,3,2,4,4,0.0223266790057482,8.69659381978253
2,4,5,5,5,5,6,4,2,2,2,4,3,2,5,5,5,3,3,2,3,15,3.66666666666667,0.134799727523221,8.44253429830266
4,4,5,4,4,6,5,5,3,3,2,3,3,3,6,4,5,4,3,4,3,13,4.33333333333333,0.0133412436176839,7.55349633714481
1,1,4,3,4,6,6,6,1,1,1,1,1,1,6,5,5,5,4,3,3,12,3.66666666666667,0.0549374681852352,7.85387662081497
1,1,4,3,4,6,6,6,2,2.5,3,1,1,1,6,5,5,5,4,3,3,12,3.66666666666667,0.0549374681852352,7.85387662081497
4,5,6,5,5,6,6,6,3,5,4,5,6,6,5,5,5,4,4,4,5,12,4.83333333333333,0.0572120309082184,10.4149359823182
6,2,3,4,3,4,3,4,4,5,6,5,2,3.5,6,6.5,7,2,4,3,6,52,3.83333333333333,0.0705039435110738,10.6404841403743
5,5,5,4,3,5,4,4,4,4,2,2,2,2,4,3,4,6,5,5,6,31,5.16666666666667,0.0272893761239527,11.9107667707946
5,2,6,7,4,3,4,6,6,3,3,5,2,2,5,4,5,3,3,3,3,46,4.66666666666667,0.312461642313952,9.80662416713225
3,4,6,7,4,7,4,7,2,2,2,6,4,1,7,7,7,1,1,1,3,52,4.5,0.0332847757294911,9.28559625645495
6,5,6,2,2,5,3,2,2,4,1,5,5,2,4,6,3,6,3,6,5,52,3,0.154804181229884,10.7753267945667
6,5,5,4,4,6,5,4,6,6,4,5,5,4,7,6,5,6,5,5,3,41,3.5,0.173752728964304,8.73974456742926
